row_id;order_id;order_date;ship_date;customer_id;segment;country;city;state;region;product_id;category;sub_category;sales;quantity;profit
19;CA-2016-143336;27.08.2016;01.09.2016;ZD-21925;Consumer;United States;San Francisco;California;West;OFF-AR-10003056;Office Supplies;Art;9;2;2
20;CA-2016-143336;27.08.2016;01.09.2016;ZD-21925;Consumer;United States;San Francisco;California;West;TEC-PH-10001949;Technology;Phones;213;3;16
21;CA-2016-143336;27.08.2016;01.09.2016;ZD-21925;Consumer;United States;San Francisco;California;West;OFF-BI-10002215;Office Supplies;Binders;23;4;7
22;CA-2018-137330;09.12.2018;13.12.2018;KB-16585;Corporate;United States;Fremont;Nebraska;Central;OFF-AR-10000246;Office Supplies;Art;19;7;5
23;CA-2018-137330;09.12.2018;13.12.2018;KB-16585;Corporate;United States;Fremont;Nebraska;Central;OFF-AP-10001492;Office Supplies;Appliances;60;7;16
24;US-2019-156909;16.07.2019;18.07.2019;SF-20065;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-CH-10002774;Furniture;Chairs;71;2;-1
25;CA-2017-106320;25.09.2017;30.09.2017;EB-13870;Consumer;United States;Orem;Utah;West;FUR-TA-10000577;Furniture;Tables;1045;3;240
26;CA-2018-121755;16.01.2018;20.01.2018;EH-13945;Consumer;United States;Los Angeles;California;West;OFF-BI-10001634;Office Supplies;Binders;12;2;4
27;CA-2018-121755;16.01.2018;20.01.2018;EH-13945;Consumer;United States;Los Angeles;California;West;TEC-AC-10003027;Technology;Accessories;91;3;12
28;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-BO-10004834;Furniture;Bookcases;3083;7;-1665
29;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-BI-10000474;Office Supplies;Binders;10;2;-7
30;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-FU-10004848;Furniture;Furnishings;124;3;16
31;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-EN-10001509;Office Supplies;Envelopes;3;2;1
32;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-AR-10004042;Office Supplies;Art;86;6;10
33;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-BI-10001525;Office Supplies;Binders;7;6;-6
34;US-2017-150630;17.09.2017;21.09.2017;TB-21520;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-AR-10001683;Office Supplies;Art;16;2;4
35;CA-2019-107727;19.10.2019;23.10.2019;MA-17560;Home Office;United States;Houston;Texas;Central;OFF-PA-10000249;Office Supplies;Paper;29;3;10
36;CA-2018-117590;08.12.2018;10.12.2018;GH-14485;Corporate;United States;Richardson;Texas;Central;TEC-PH-10004977;Technology;Phones;1098;7;123
37;CA-2018-117590;08.12.2018;10.12.2018;GH-14485;Corporate;United States;Richardson;Texas;Central;FUR-FU-10003664;Furniture;Furnishings;191;5;-148
38;CA-2017-117415;27.12.2017;31.12.2017;SN-20710;Home Office;United States;Houston;Texas;Central;OFF-EN-10002986;Office Supplies;Envelopes;113;9;35
39;CA-2017-117415;27.12.2017;31.12.2017;SN-20710;Home Office;United States;Houston;Texas;Central;FUR-BO-10002545;Furniture;Bookcases;532;3;-47
40;CA-2017-117415;27.12.2017;31.12.2017;SN-20710;Home Office;United States;Houston;Texas;Central;FUR-CH-10004218;Furniture;Chairs;212;3;-15
41;CA-2017-117415;27.12.2017;31.12.2017;SN-20710;Home Office;United States;Houston;Texas;Central;TEC-PH-10000486;Technology;Phones;371;4;42
42;CA-2019-120999;10.09.2019;15.09.2019;LC-16930;Corporate;United States;Naperville;Illinois;Central;TEC-PH-10004093;Technology;Phones;147;4;17
43;CA-2018-101343;17.07.2018;22.07.2018;RA-19885;Corporate;United States;Los Angeles;California;West;OFF-ST-10003479;Office Supplies;Storage;78;2;4
44;CA-2019-139619;19.09.2019;23.09.2019;ES-14080;Corporate;United States;Melbourne;Florida;South;OFF-ST-10003282;Office Supplies;Storage;96;2;10
45;CA-2018-118255;11.03.2018;13.03.2018;ON-18715;Corporate;United States;Eagan;Minnesota;Central;TEC-AC-10000171;Technology;Accessories;46;2;20
46;CA-2018-118255;11.03.2018;13.03.2018;ON-18715;Corporate;United States;Eagan;Minnesota;Central;OFF-BI-10003291;Office Supplies;Binders;17;2;8
47;CA-2016-146703;20.10.2016;25.10.2016;PO-18865;Consumer;United States;Westland;Michigan;Central;OFF-ST-10001713;Office Supplies;Storage;212;4;8
48;CA-2018-169194;20.06.2018;25.06.2018;LH-16900;Consumer;United States;Dover;Delaware;East;TEC-AC-10002167;Technology;Accessories;45;3;5
49;CA-2018-169194;20.06.2018;25.06.2018;LH-16900;Consumer;United States;Dover;Delaware;East;TEC-PH-10003988;Technology;Phones;22;2;6
50;CA-2017-115742;18.04.2017;22.04.2017;DP-13000;Consumer;United States;New Albany;Indiana;Central;OFF-BI-10004410;Office Supplies;Binders;38;6;18
51;CA-2017-115742;18.04.2017;22.04.2017;DP-13000;Consumer;United States;New Albany;Indiana;Central;OFF-LA-10002762;Office Supplies;Labels;75;6;35
52;CA-2017-115742;18.04.2017;22.04.2017;DP-13000;Consumer;United States;New Albany;Indiana;Central;FUR-FU-10001706;Furniture;Furnishings;6;2;3
53;CA-2017-115742;18.04.2017;22.04.2017;DP-13000;Consumer;United States;New Albany;Indiana;Central;FUR-CH-10003061;Furniture;Chairs;90;1;17
54;CA-2018-105816;11.12.2018;17.12.2018;JM-15265;Corporate;United States;New York City;New York;East;OFF-FA-10000304;Office Supplies;Fasteners;15;7;6
55;CA-2018-105816;11.12.2018;17.12.2018;JM-15265;Corporate;United States;New York City;New York;East;TEC-PH-10002447;Technology;Phones;1030;5;299
56;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-ST-10000604;Office Supplies;Storage;209;6;52
57;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-PA-10001569;Office Supplies;Paper;32;5;16
58;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;FUR-CH-10003968;Furniture;Chairs;319;5;7
59;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-PA-10000587;Office Supplies;Paper;15;2;7
60;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;TEC-AC-10002167;Technology;Accessories;30;2;3
61;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-BI-10001460;Office Supplies;Binders;48;4;16
62;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-AR-10001868;Office Supplies;Art;2;1;1
63;CA-2017-135545;24.11.2017;30.11.2017;KM-16720;Consumer;United States;Los Angeles;California;West;TEC-AC-10004633;Technology;Accessories;14;2;6
64;CA-2017-135545;24.11.2017;30.11.2017;KM-16720;Consumer;United States;Los Angeles;California;West;OFF-BI-10001078;Office Supplies;Binders;26;6;9
65;CA-2017-135545;24.11.2017;30.11.2017;KM-16720;Consumer;United States;Los Angeles;California;West;OFF-PA-10003892;Office Supplies;Paper;147;3;69
66;CA-2017-135545;24.11.2017;30.11.2017;KM-16720;Consumer;United States;Los Angeles;California;West;FUR-FU-10000397;Furniture;Furnishings;80;4;22
67;US-2017-164175;30.04.2017;05.05.2017;PS-18970;Home Office;United States;Chicago;Illinois;Central;FUR-CH-10001146;Furniture;Chairs;213;5;-15
68;CA-2016-106376;05.12.2016;10.12.2016;BS-11590;Corporate;United States;Gilbert;Arizona;West;OFF-AR-10002671;Office Supplies;Art;1113;8;111
69;CA-2016-106376;05.12.2016;10.12.2016;BS-11590;Corporate;United States;Gilbert;Arizona;West;TEC-PH-10002726;Technology;Phones;168;4;63
70;CA-2018-119823;04.06.2018;06.06.2018;KD-16270;Consumer;United States;Springfield;Virginia;South;OFF-PA-10000482;Office Supplies;Paper;76;2;36
71;CA-2018-106075;18.09.2018;23.09.2018;HM-14980;Consumer;United States;New York City;New York;East;OFF-BI-10004654;Office Supplies;Binders;5;1;2
72;CA-2019-114440;14.09.2019;17.09.2019;TB-21520;Consumer;United States;Jackson;Michigan;Central;OFF-PA-10004675;Office Supplies;Paper;19;3;9
73;US-2017-134026;26.04.2017;02.05.2017;JE-15745;Consumer;United States;Memphis;Tennessee;South;FUR-CH-10000513;Furniture;Chairs;832;8;-114
74;US-2017-134026;26.04.2017;02.05.2017;JE-15745;Consumer;United States;Memphis;Tennessee;South;FUR-FU-10003708;Furniture;Furnishings;97;2;1
75;US-2017-134026;26.04.2017;02.05.2017;JE-15745;Consumer;United States;Memphis;Tennessee;South;OFF-ST-10004123;Office Supplies;Storage;73;1;-18
76;US-2019-118038;09.12.2019;11.12.2019;KB-16600;Corporate;United States;Houston;Texas;Central;OFF-BI-10004182;Office Supplies;Binders;1;3;-2
77;US-2019-118038;09.12.2019;11.12.2019;KB-16600;Corporate;United States;Houston;Texas;Central;FUR-FU-10000260;Furniture;Furnishings;10;3;-6
78;US-2019-118038;09.12.2019;11.12.2019;KB-16600;Corporate;United States;Houston;Texas;Central;OFF-ST-10000615;Office Supplies;Storage;27;3;3
79;US-2016-147606;26.11.2016;01.12.2016;JE-15745;Consumer;United States;Houston;Texas;Central;FUR-FU-10003194;Furniture;Furnishings;19;5;-14
80;CA-2018-127208;12.06.2018;15.06.2018;SC-20770;Corporate;United States;Decatur;Alabama;South;OFF-AP-10002118;Office Supplies;Appliances;208;1;56
81;CA-2018-127208;12.06.2018;15.06.2018;SC-20770;Corporate;United States;Decatur;Alabama;South;OFF-BI-10002309;Office Supplies;Binders;17;3;8
82;CA-2016-139451;12.10.2016;16.10.2016;DN-13690;Consumer;United States;San Francisco;California;West;OFF-AR-10002053;Office Supplies;Art;15;5;4
83;CA-2016-139451;12.10.2016;16.10.2016;DN-13690;Consumer;United States;San Francisco;California;West;OFF-ST-10002370;Office Supplies;Storage;21;1;6
84;CA-2017-149734;03.09.2017;08.09.2017;JC-16105;Corporate;United States;Durham;North Carolina;South;OFF-EN-10000927;Office Supplies;Envelopes;201;7;63
85;US-2019-119662;13.11.2019;16.11.2019;CS-12400;Home Office;United States;Chicago;Illinois;Central;OFF-ST-10003656;Office Supplies;Storage;230;3;-49
86;CA-2019-140088;28.05.2019;30.05.2019;PO-18865;Consumer;United States;Columbia;South Carolina;South;FUR-CH-10000863;Furniture;Chairs;302;2;33
87;CA-2019-155558;26.10.2019;02.11.2019;PG-18895;Consumer;United States;Rochester;Minnesota;Central;TEC-AC-10001998;Technology;Accessories;20;1;7
88;CA-2019-155558;26.10.2019;02.11.2019;PG-18895;Consumer;United States;Rochester;Minnesota;Central;OFF-LA-10000134;Office Supplies;Labels;6;2;3
89;CA-2018-159695;05.04.2018;10.04.2018;GM-14455;Home Office;United States;Houston;Texas;Central;OFF-ST-10003442;Office Supplies;Storage;158;7;14
90;CA-2018-109806;17.09.2018;22.09.2018;JS-15685;Corporate;United States;Los Angeles;California;West;OFF-AR-10004930;Office Supplies;Art;20;3;7
91;CA-2018-109806;17.09.2018;22.09.2018;JS-15685;Corporate;United States;Los Angeles;California;West;TEC-PH-10004093;Technology;Phones;74;2;8
92;CA-2018-109806;17.09.2018;22.09.2018;JS-15685;Corporate;United States;Los Angeles;California;West;OFF-PA-10000304;Office Supplies;Paper;6;1;3
93;CA-2017-149587;31.01.2017;05.02.2017;KB-16315;Consumer;United States;Minneapolis;Minnesota;Central;OFF-PA-10003177;Office Supplies;Paper;13;2;6
94;CA-2017-149587;31.01.2017;05.02.2017;KB-16315;Consumer;United States;Minneapolis;Minnesota;Central;FUR-FU-10003799;Furniture;Furnishings;53;3;17
95;CA-2017-149587;31.01.2017;05.02.2017;KB-16315;Consumer;United States;Minneapolis;Minnesota;Central;OFF-BI-10002852;Office Supplies;Binders;33;2;16
96;US-2019-109484;06.11.2019;12.11.2019;RB-19705;Home Office;United States;Portland;Oregon;West;OFF-BI-10004738;Office Supplies;Binders;6;1;-4
97;CA-2019-161018;09.11.2019;11.11.2019;PN-18775;Home Office;United States;New York City;New York;East;FUR-FU-10000629;Furniture;Furnishings;97;7;41
98;CA-2019-157833;17.06.2019;20.06.2019;KD-16345;Consumer;United States;San Francisco;California;West;OFF-BI-10001721;Office Supplies;Binders;51;3;18
99;CA-2018-149223;06.09.2018;11.09.2018;ER-13855;Corporate;United States;Saint Paul;Minnesota;Central;OFF-AP-10000358;Office Supplies;Appliances;78;6;23
100;CA-2018-158568;29.08.2018;02.09.2018;RB-19465;Home Office;United States;Chicago;Illinois;Central;OFF-PA-10003256;Office Supplies;Paper;65;7;23
101;CA-2018-158568;29.08.2018;02.09.2018;RB-19465;Home Office;United States;Chicago;Illinois;Central;TEC-AC-10001767;Technology;Accessories;96;3;-11
102;CA-2018-158568;29.08.2018;02.09.2018;RB-19465;Home Office;United States;Chicago;Illinois;Central;OFF-BI-10002609;Office Supplies;Binders;2;3;-3
103;CA-2018-129903;01.12.2018;04.12.2018;GZ-14470;Consumer;United States;Rochester;Minnesota;Central;OFF-PA-10004040;Office Supplies;Paper;24;4;12
104;US-2017-156867;13.11.2017;17.11.2017;LC-16870;Consumer;United States;Aurora;Colorado;West;TEC-AC-10001552;Technology;Accessories;239;6;-27
105;US-2017-156867;13.11.2017;17.11.2017;LC-16870;Consumer;United States;Aurora;Colorado;West;FUR-FU-10004006;Furniture;Furnishings;102;3;-4
106;US-2017-156867;13.11.2017;17.11.2017;LC-16870;Consumer;United States;Aurora;Colorado;West;OFF-BI-10002794;Office Supplies;Binders;37;3;-26
107;CA-2019-119004;23.11.2019;28.11.2019;JM-15250;Consumer;United States;Charlotte;North Carolina;South;TEC-AC-10003499;Technology;Accessories;74;8;18
108;CA-2019-119004;23.11.2019;28.11.2019;JM-15250;Consumer;United States;Charlotte;North Carolina;South;TEC-PH-10002844;Technology;Phones;28;1;2
109;CA-2019-119004;23.11.2019;28.11.2019;JM-15250;Consumer;United States;Charlotte;North Carolina;South;OFF-AR-10000390;Office Supplies;Art;3;1;1
110;CA-2017-129476;15.10.2017;20.10.2017;PA-19060;Home Office;United States;Orland Park;Illinois;Central;TEC-AC-10000844;Technology;Accessories;340;5;68
111;CA-2019-146780;25.12.2019;30.12.2019;CV-12805;Corporate;United States;New York City;New York;East;FUR-FU-10001934;Furniture;Furnishings;42;2;11
112;CA-2018-128867;03.11.2018;10.11.2018;CL-12565;Consumer;United States;Urbandale;Iowa;Central;OFF-AR-10000380;Office Supplies;Art;76;2;23
113;CA-2018-128867;03.11.2018;10.11.2018;CL-12565;Consumer;United States;Urbandale;Iowa;Central;OFF-BI-10003981;Office Supplies;Binders;27;6;13
114;CA-2016-115259;25.08.2016;27.08.2016;RC-19960;Consumer;United States;Columbus;Ohio;East;OFF-FA-10000621;Office Supplies;Fasteners;40;14;15
115;CA-2016-115259;25.08.2016;27.08.2016;RC-19960;Consumer;United States;Columbus;Ohio;East;OFF-EN-10002600;Office Supplies;Envelopes;5;2;2
116;CA-2016-115259;25.08.2016;27.08.2016;RC-19960;Consumer;United States;Columbus;Ohio;East;OFF-PA-10004965;Office Supplies;Paper;24;3;7
117;CA-2016-115259;25.08.2016;27.08.2016;RC-19960;Consumer;United States;Columbus;Ohio;East;OFF-EN-10002504;Office Supplies;Envelopes;130;6;44
118;CA-2017-110457;02.03.2017;06.03.2017;DK-13090;Consumer;United States;Seattle;Washington;West;FUR-TA-10001768;Furniture;Tables;788;3;165
119;US-2017-136476;05.04.2017;10.04.2017;GG-14650;Corporate;United States;Bristol;Tennessee;South;OFF-BI-10003650;Office Supplies;Binders;158;1;-116
120;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;FUR-FU-10002157;Furniture;Furnishings;47;3;18
121;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;OFF-BI-10003910;Office Supplies;Binders;31;4;14
122;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;OFF-ST-10000777;Office Supplies;Storage;227;6;63
123;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;OFF-EN-10002500;Office Supplies;Envelopes;115;9;52
124;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;TEC-PH-10003875;Technology;Phones;68;7;20
125;US-2016-152030;26.12.2016;28.12.2016;AD-10180;Home Office;United States;Houston;Texas;Central;FUR-CH-10004063;Furniture;Chairs;601;3;-9
126;US-2016-134614;20.09.2016;25.09.2016;PF-19165;Consumer;United States;Bloomington;Illinois;Central;FUR-TA-10004534;Furniture;Tables;618;6;-408
127;US-2019-107272;05.11.2019;12.11.2019;TS-21610;Consumer;United States;Phoenix;Arizona;West;OFF-BI-10003274;Office Supplies;Binders;2;2;-2
128;US-2019-107272;05.11.2019;12.11.2019;TS-21610;Consumer;United States;Phoenix;Arizona;West;OFF-ST-10002974;Office Supplies;Storage;244;7;30
129;US-2018-125969;06.11.2018;10.11.2018;LS-16975;Home Office;United States;Los Angeles;California;West;FUR-CH-10001146;Furniture;Chairs;81;2;-9
130;US-2018-125969;06.11.2018;10.11.2018;LS-16975;Home Office;United States;Los Angeles;California;West;FUR-FU-10003773;Furniture;Furnishings;239;3;26
131;US-2019-164147;02.02.2019;05.02.2019;DW-13585;Corporate;United States;Columbus;Ohio;East;TEC-PH-10002293;Technology;Phones;60;5;-12
132;US-2019-164147;02.02.2019;05.02.2019;DW-13585;Corporate;United States;Columbus;Ohio;East;OFF-PA-10002377;Office Supplies;Paper;78;2;29
133;US-2019-164147;02.02.2019;05.02.2019;DW-13585;Corporate;United States;Columbus;Ohio;East;OFF-FA-10002780;Office Supplies;Fasteners;21;9;7
134;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-PA-10001804;Office Supplies;Paper;20;3;10
135;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-PA-10001736;Office Supplies;Paper;35;1;17
136;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-AR-10001149;Office Supplies;Art;12;4;3
137;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-FA-10002988;Office Supplies;Fasteners;4;2;2
138;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-BI-10004781;Office Supplies;Binders;76;3;27
139;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-SU-10001218;Office Supplies;Supplies;66;6;18
140;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;FUR-FU-10001706;Furniture;Furnishings;43;14;21
141;CA-2018-110366;05.09.2018;07.09.2018;JD-15895;Corporate;United States;Philadelphia;Pennsylvania;East;FUR-FU-10004848;Furniture;Furnishings;83;2;10
142;CA-2019-106180;18.09.2019;23.09.2019;SH-19975;Corporate;United States;San Francisco;California;West;OFF-AR-10000940;Office Supplies;Art;9;3;2
143;CA-2019-106180;18.09.2019;23.09.2019;SH-19975;Corporate;United States;San Francisco;California;West;OFF-EN-10004030;Office Supplies;Envelopes;11;3;5
144;CA-2019-106180;18.09.2019;23.09.2019;SH-19975;Corporate;United States;San Francisco;California;West;OFF-PA-10004327;Office Supplies;Paper;144;3;69
145;CA-2019-155376;22.12.2019;27.12.2019;SG-20080;Consumer;United States;Independence;Missouri;Central;OFF-AP-10001058;Office Supplies;Appliances;839;3;218
146;CA-2017-110744;07.09.2017;12.09.2017;HA-14920;Consumer;United States;Pasadena;California;West;OFF-ST-10003656;Office Supplies;Storage;672;7;20
147;CA-2016-110072;22.10.2016;28.10.2016;MG-17680;Home Office;United States;Newark;Ohio;East;FUR-FU-10000521;Furniture;Furnishings;94;4;13
148;CA-2018-114489;05.12.2018;09.12.2018;JE-16165;Corporate;United States;Franklin;Wisconsin;Central;TEC-PH-10000215;Technology;Phones;384;11;104
149;CA-2018-114489;05.12.2018;09.12.2018;JE-16165;Corporate;United States;Franklin;Wisconsin;Central;TEC-PH-10001448;Technology;Phones;150;3;6
150;CA-2018-114489;05.12.2018;09.12.2018;JE-16165;Corporate;United States;Franklin;Wisconsin;Central;FUR-CH-10000454;Furniture;Chairs;1952;8;586
151;CA-2018-114489;05.12.2018;09.12.2018;JE-16165;Corporate;United States;Franklin;Wisconsin;Central;OFF-BI-10002735;Office Supplies;Binders;172;5;81
152;CA-2018-158834;13.03.2018;16.03.2018;TW-21025;Home Office;United States;Scottsdale;Arizona;West;OFF-AP-10000326;Office Supplies;Appliances;158;5;18
153;CA-2018-158834;13.03.2018;16.03.2018;TW-21025;Home Office;United States;Scottsdale;Arizona;West;TEC-PH-10001254;Technology;Phones;203;2;15
154;CA-2017-124919;31.05.2017;02.06.2017;SP-20650;Corporate;United States;San Jose;California;West;OFF-PA-10001950;Office Supplies;Paper;58;7;26
155;CA-2017-124919;31.05.2017;02.06.2017;SP-20650;Corporate;United States;San Jose;California;West;OFF-PA-10002254;Office Supplies;Paper;106;4;49
156;CA-2017-124919;31.05.2017;02.06.2017;SP-20650;Corporate;United States;San Jose;California;West;OFF-ST-10001590;Office Supplies;Storage;81;6;21
157;CA-2017-118948;28.05.2017;03.06.2017;NK-18490;Home Office;United States;Seattle;Washington;West;OFF-AR-10001547;Office Supplies;Art;7;3;2
158;CA-2016-104269;01.03.2016;06.03.2016;DB-13060;Consumer;United States;Seattle;Washington;West;FUR-CH-10004063;Furniture;Chairs;458;2;51
159;CA-2018-114104;20.11.2018;24.11.2018;NP-18670;Consumer;United States;Edmond;Oklahoma;Central;OFF-LA-10002475;Office Supplies;Labels;15;2;7
160;CA-2018-114104;20.11.2018;24.11.2018;NP-18670;Consumer;United States;Edmond;Oklahoma;Central;TEC-PH-10004536;Technology;Phones;945;7;236
161;CA-2018-162733;11.05.2018;12.05.2018;TT-21070;Consumer;United States;Los Angeles;California;West;OFF-PA-10002751;Office Supplies;Paper;6;1;3
162;CA-2017-119697;28.12.2017;31.12.2017;EM-13960;Consumer;United States;Philadelphia;Pennsylvania;East;TEC-AC-10003657;Technology;Accessories;54;2;1
163;CA-2018-154508;16.11.2018;20.11.2018;RD-19900;Consumer;United States;Carlsbad;New Mexico;West;OFF-EN-10001990;Office Supplies;Envelopes;28;5;13
164;CA-2018-113817;07.11.2018;11.11.2018;MJ-17740;Consumer;United States;Seattle;Washington;West;OFF-BI-10004002;Office Supplies;Binders;28;2;10
165;CA-2016-139892;08.09.2016;12.09.2016;BM-11140;Consumer;United States;San Antonio;Texas;Central;OFF-AR-10004441;Office Supplies;Art;10;3;3
166;CA-2016-139892;08.09.2016;12.09.2016;BM-11140;Consumer;United States;San Antonio;Texas;Central;TEC-MA-10000822;Technology;Machines;8160;8;-1360
167;CA-2016-139892;08.09.2016;12.09.2016;BM-11140;Consumer;United States;San Antonio;Texas;Central;OFF-ST-10000991;Office Supplies;Storage;276;3;-59
168;CA-2016-139892;08.09.2016;12.09.2016;BM-11140;Consumer;United States;San Antonio;Texas;Central;FUR-CH-10004287;Furniture;Chairs;1740;9;-25
169;CA-2016-139892;08.09.2016;12.09.2016;BM-11140;Consumer;United States;San Antonio;Texas;Central;OFF-AR-10002656;Office Supplies;Art;32;6;7
170;CA-2016-139892;08.09.2016;12.09.2016;BM-11140;Consumer;United States;San Antonio;Texas;Central;OFF-AP-10002518;Office Supplies;Appliances;178;5;-454
171;CA-2016-139892;08.09.2016;12.09.2016;BM-11140;Consumer;United States;San Antonio;Texas;Central;TEC-PH-10003931;Technology;Phones;144;3;9
172;CA-2016-118962;05.08.2016;09.08.2016;CS-12130;Consumer;United States;Los Angeles;California;West;OFF-PA-10000659;Office Supplies;Paper;21;3;10
173;CA-2016-118962;05.08.2016;09.08.2016;CS-12130;Consumer;United States;Los Angeles;California;West;OFF-PA-10001144;Office Supplies;Paper;111;2;53
174;CA-2016-118962;05.08.2016;09.08.2016;CS-12130;Consumer;United States;Los Angeles;California;West;FUR-CH-10003817;Furniture;Chairs;340;7;21
175;US-2016-100853;14.09.2016;19.09.2016;JB-15400;Corporate;United States;Chicago;Illinois;Central;OFF-AP-10000891;Office Supplies;Appliances;52;2;-131
176;US-2016-100853;14.09.2016;19.09.2016;JB-15400;Corporate;United States;Chicago;Illinois;Central;OFF-LA-10003148;Office Supplies;Labels;20;4;7
