Hotel,Is Canceled,Lead Time,arrival full date,Arrival Date Year,Arrival Date Month,Arrival Date Week Number,Arrival Date Day of Month,Stays in Weekend nights,Stays in week nights,stays total nights,Adults,Children,Babies,Meal,Country,Reserved Room Type,Assigned room type,customer type,Reservation Status,Reservation status_date
Resort Hotel,1,251,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,HB,PRT,A,A,Contract,Canceled,05/03/2017
Resort Hotel,1,262,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,HB,CN,D,D,Transient,Canceled,12/07/2016
Resort Hotel,1,177,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,BB,IRL,F,F,Transient-Party,Canceled,01/24/2017
Resort Hotel,1,171,07/03/2017,2017,July,27,3,2,5,7,2,2.0,0,BB,ESP,G,G,Transient,Canceled,01/13/2017
Resort Hotel,1,150,07/03/2017,2017,July,27,3,2,5,7,2,2.0,0,HB,ROU,G,G,Transient,Canceled,02/19/2017
Resort Hotel,1,280,07/03/2017,2017,July,27,3,2,5,7,2,0.0,0,HB,PRT,D,D,Contract,Canceled,02/27/2017
Resort Hotel,1,300,07/03/2017,2017,July,27,3,3,6,9,2,2.0,0,BB,PRT,C,C,Transient,Canceled,09/07/2016
Resort Hotel,1,47,07/03/2017,2017,July,27,3,3,6,9,2,0.0,0,BB,NLD,A,A,Transient,Canceled,06/12/2017
Resort Hotel,1,317,07/03/2017,2017,July,27,3,3,7,10,3,1.0,0,BB,NOR,H,H,Transient,Canceled,08/29/2016
Resort Hotel,1,347,07/03/2017,2017,July,27,3,3,7,10,2,1.0,0,HB,NOR,H,H,Transient,Canceled,07/21/2016
Resort Hotel,1,268,07/03/2017,2017,July,27,3,3,8,11,3,1.0,0,BB,NOR,H,H,Transient,Canceled,10/08/2016
Resort Hotel,1,277,07/03/2017,2017,July,27,3,4,10,14,2,2.0,0,HB,LUX,G,G,Transient,Canceled,10/01/2016
Resort Hotel,1,347,07/03/2017,2017,July,27,3,3,7,10,3,1.0,0,BB,NOR,H,H,Transient,Canceled,08/19/2016
Resort Hotel,1,269,07/03/2017,2017,July,27,3,3,7,10,3,1.0,0,BB,NOR,H,H,Transient,Canceled,10/07/2016
Resort Hotel,1,6,07/04/2017,2017,July,27,4,0,1,1,2,0.0,0,BB,PRT,A,A,Transient,Canceled,06/29/2017
Resort Hotel,1,320,07/04/2017,2017,July,27,4,0,3,3,2,0.0,0,BB,FRA,A,A,Transient,Canceled,08/18/2016
Resort Hotel,1,153,07/04/2017,2017,July,27,4,0,5,5,2,2.0,0,HB,ESP,G,G,Transient,Canceled,02/02/2017
Resort Hotel,1,237,07/04/2017,2017,July,27,4,2,5,7,2,0.0,0,HB,ESP,D,D,Transient,Canceled,11/29/2016
Resort Hotel,1,324,07/04/2017,2017,July,27,4,2,5,7,3,1.0,0,HB,IRL,H,H,Transient,Canceled,08/16/2016
Resort Hotel,1,315,07/04/2017,2017,July,27,4,2,5,7,2,2.0,0,BB,IRL,G,G,Transient,Canceled,08/23/2016
Resort Hotel,1,131,07/04/2017,2017,July,27,4,2,5,7,3,1.0,0,BB,PRT,H,H,Transient,Canceled,03/03/2017
Resort Hotel,1,55,07/04/2017,2017,July,27,4,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,271,07/04/2017,2017,July,27,4,2,5,7,2,0.0,0,BB,HUN,A,A,Transient,Canceled,01/21/2017
Resort Hotel,1,324,07/04/2017,2017,July,27,4,2,5,7,2,2.0,0,HB,IRL,G,G,Transient,Canceled,04/30/2017
Resort Hotel,1,236,07/04/2017,2017,July,27,4,2,5,7,3,1.0,0,BB,GBR,H,H,Transient,Canceled,12/16/2016
Resort Hotel,1,271,07/04/2017,2017,July,27,4,2,5,7,2,0.0,0,BB,HUN,A,A,Transient,Canceled,01/21/2017
Resort Hotel,1,217,07/04/2017,2017,July,27,4,2,5,7,2,0.0,0,HB,ESP,D,D,Transient,Canceled,02/10/2017
Resort Hotel,1,269,07/04/2017,2017,July,27,4,2,6,8,2,0.0,0,BB,PRT,A,A,Transient,Canceled,10/08/2016
Resort Hotel,1,270,07/04/2017,2017,July,27,4,2,6,8,2,0.0,0,BB,ROU,A,A,Transient,Canceled,10/11/2016
Resort Hotel,1,55,07/04/2017,2017,July,27,4,2,8,10,2,0.0,0,BB,PRT,E,E,Transient,Canceled,05/12/2017
Resort Hotel,1,55,07/04/2017,2017,July,27,4,2,8,10,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,55,07/04/2017,2017,July,27,4,2,8,10,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,335,07/04/2017,2017,July,27,4,4,10,14,2,2.0,0,BB,IRL,G,G,Transient,Canceled,08/03/2016
Resort Hotel,1,8,07/05/2017,2017,July,27,5,0,1,1,1,0.0,0,BB,PRT,A,A,Transient,Canceled,07/04/2017
Resort Hotel,1,8,07/05/2017,2017,July,27,5,0,1,1,1,0.0,0,BB,PRT,A,A,Transient,Canceled,06/28/2017
Resort Hotel,1,8,07/05/2017,2017,July,27,5,0,1,1,1,0.0,0,BB,PRT,A,A,Transient,Canceled,07/04/2017
Resort Hotel,1,345,07/05/2017,2017,July,27,5,0,3,3,2,0.0,0,BB,SWE,D,D,Transient,Canceled,10/03/2016
Resort Hotel,1,164,07/05/2017,2017,July,27,5,0,4,4,2,0.0,0,HB,ESP,A,A,Transient,Canceled,03/16/2017
Resort Hotel,1,14,07/05/2017,2017,July,27,5,1,4,5,2,0.0,0,BB,PRT,A,A,Transient,Canceled,06/21/2017
Resort Hotel,1,168,07/05/2017,2017,July,27,5,1,4,5,3,1.0,0,HB,PRT,H,H,Transient,Canceled,05/13/2017
Resort Hotel,1,14,07/05/2017,2017,July,27,5,1,4,5,2,0.0,0,BB,PRT,D,D,Transient,Canceled,06/21/2017
Resort Hotel,1,334,07/05/2017,2017,July,27,5,1,4,5,2,0.0,0,HB,PRT,A,A,Transient-Party,Canceled,06/26/2017
Resort Hotel,1,352,07/05/2017,2017,July,27,5,2,5,7,2,0.0,0,BB,IRL,D,D,Transient,Canceled,08/12/2016
Resort Hotel,1,251,07/05/2017,2017,July,27,5,2,5,7,2,0.0,0,BB,GBR,A,A,Transient,Canceled,01/12/2017
Resort Hotel,1,158,07/05/2017,2017,July,27,5,2,5,7,2,0.0,0,Undefined,ESP,A,A,Transient,Canceled,05/23/2017
Resort Hotel,1,183,07/05/2017,2017,July,27,5,2,8,10,2,0.0,0,BB,GBR,D,D,Transient,Canceled,04/08/2017
Resort Hotel,1,168,07/05/2017,2017,July,27,5,2,8,10,2,0.0,0,BB,GBR,E,E,Transient,Canceled,04/08/2017
Resort Hotel,1,65,07/05/2017,2017,July,27,5,2,8,10,2,2.0,0,BB,CHE,G,G,Transient,Canceled,05/06/2017
Resort Hotel,1,338,07/06/2017,2017,July,27,6,0,1,1,2,2.0,0,BB,IRL,G,G,Transient,Canceled,08/27/2016
Resort Hotel,1,168,07/06/2017,2017,July,27,6,0,3,3,2,0.0,0,BB,ESP,E,E,Transient,Canceled,05/18/2017
Resort Hotel,1,171,07/06/2017,2017,July,27,6,0,3,3,2,1.0,0,HB,PRT,D,D,Transient,Canceled,04/23/2017
Resort Hotel,1,57,07/06/2017,2017,July,27,6,1,3,4,2,0.0,0,BB,PRT,E,E,Transient,Canceled,05/12/2017
Resort Hotel,1,130,07/06/2017,2017,July,27,6,1,3,4,1,2.0,0,HB,NOR,G,G,Transient,Canceled,06/28/2017
Resort Hotel,1,86,07/06/2017,2017,July,27,6,1,3,4,2,0.0,0,BB,ESP,D,D,Transient,Canceled,04/27/2017
Resort Hotel,1,210,07/06/2017,2017,July,27,6,2,3,5,2,0.0,0,HB,CN,D,D,Transient,Canceled,05/17/2017
Resort Hotel,1,210,07/06/2017,2017,July,27,6,2,3,5,2,0.0,0,BB,CN,D,D,Transient,Canceled,12/08/2016
Resort Hotel,1,210,07/06/2017,2017,July,27,6,2,3,5,2,0.0,0,BB,CN,D,D,Transient,Canceled,12/08/2016
Resort Hotel,1,210,07/06/2017,2017,July,27,6,2,3,5,2,0.0,0,HB,CN,D,D,Transient,Canceled,05/17/2017
Resort Hotel,1,326,07/06/2017,2017,July,27,6,2,5,7,3,0.0,0,BB,IRL,E,E,Transient,Canceled,11/07/2016
Resort Hotel,1,339,07/06/2017,2017,July,27,6,4,10,14,2,0.0,0,BB,CN,A,A,Transient,Canceled,08/01/2016
Resort Hotel,1,335,07/06/2017,2017,July,27,6,4,10,14,2,0.0,0,HB,PRT,D,D,Contract,Canceled,02/02/2017
Resort Hotel,1,140,07/06/2017,2017,July,27,6,4,8,12,2,2.0,0,BB,DNK,C,C,Transient,Canceled,03/20/2017
Resort Hotel,1,288,07/07/2017,2017,July,27,7,0,2,2,2,0.0,0,BB,CN,E,E,Transient,Canceled,04/17/2017
Resort Hotel,1,150,07/07/2017,2017,July,27,7,1,2,3,2,2.0,0,BB,PRT,C,C,Transient,Canceled,02/08/2017
Resort Hotel,1,113,07/07/2017,2017,July,27,7,1,2,3,2,2.0,0,BB,ESP,C,C,Transient,Canceled,04/02/2017
Resort Hotel,1,11,07/07/2017,2017,July,27,7,2,2,4,2,0.0,0,BB,DEU,D,D,Transient,Canceled,06/27/2017
Resort Hotel,1,58,07/07/2017,2017,July,27,7,2,2,4,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,58,07/07/2017,2017,July,27,7,2,2,4,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,179,07/07/2017,2017,July,27,7,2,3,5,2,0.0,0,HB,ESP,A,A,Transient,Canceled,06/08/2017
Resort Hotel,1,184,07/07/2017,2017,July,27,7,2,3,5,2,0.0,0,HB,DEU,A,A,Transient,Canceled,01/11/2017
Resort Hotel,1,58,07/07/2017,2017,July,27,7,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,227,07/07/2017,2017,July,27,7,2,5,7,2,0.0,0,BB,RUS,A,A,Transient,Canceled,11/25/2016
Resort Hotel,1,227,07/07/2017,2017,July,27,7,2,5,7,2,0.0,0,BB,RUS,A,A,Transient,Canceled,11/25/2016
Resort Hotel,1,51,07/07/2017,2017,July,27,7,1,2,3,3,0.0,0,BB,PRT,H,H,Transient,Canceled,06/19/2017
Resort Hotel,1,313,07/07/2017,2017,July,27,7,2,5,7,2,0.0,0,BB,PRT,A,A,Transient,Canceled,10/09/2016
Resort Hotel,1,58,07/07/2017,2017,July,27,7,3,7,10,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,19,07/08/2017,2017,July,27,8,0,1,1,2,0.0,0,BB,PRT,D,D,Transient,Canceled,06/21/2017
Resort Hotel,1,9,07/08/2017,2017,July,27,8,1,1,2,2,0.0,0,BB,PRT,A,A,Transient,Canceled,07/08/2017
Resort Hotel,1,3,07/08/2017,2017,July,27,8,2,2,4,3,1.0,0,BB,PRT,H,H,Transient,Canceled,07/05/2017
Resort Hotel,1,135,07/08/2017,2017,July,27,8,2,3,5,2,0.0,0,BB,RUS,D,D,Transient,Canceled,02/23/2017
Resort Hotel,1,135,07/08/2017,2017,July,27,8,2,3,5,2,0.0,0,BB,RUS,D,D,Transient,Canceled,05/10/2017
Resort Hotel,1,186,07/08/2017,2017,July,27,8,2,4,6,2,2.0,0,HB,PRT,G,G,Transient,Canceled,02/22/2017
Resort Hotel,1,152,07/08/2017,2017,July,27,8,2,5,7,2,2.0,0,BB,RUS,C,C,Transient,Canceled,02/27/2017
Resort Hotel,1,209,07/08/2017,2017,July,27,8,2,5,7,2,1.0,0,BB,ROU,A,A,Transient,Canceled,12/12/2016
Resort Hotel,1,264,07/08/2017,2017,July,27,8,2,5,7,2,0.0,0,BB,ESP,D,D,Transient,Canceled,12/19/2016
Resort Hotel,1,150,07/08/2017,2017,July,27,8,2,5,7,2,0.0,0,HB,PRT,A,A,Transient,Canceled,05/16/2017
Resort Hotel,1,59,07/08/2017,2017,July,27,8,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,109,07/08/2017,2017,July,27,8,2,6,8,2,2.0,0,BB,PRT,C,C,Transient,Canceled,03/23/2017
Resort Hotel,1,162,07/08/2017,2017,July,27,8,3,6,9,3,0.0,0,FB,PRT,A,A,Transient,Canceled,01/31/2017
Resort Hotel,1,162,07/08/2017,2017,July,27,8,3,6,9,3,0.0,0,FB,PRT,A,A,Transient,Canceled,01/31/2017
Resort Hotel,1,192,07/08/2017,2017,July,27,8,4,6,10,2,0.0,0,HB,PRT,E,E,Transient,Canceled,04/17/2017
Resort Hotel,1,154,07/08/2017,2017,July,27,8,4,7,11,2,0.0,0,BB,GBR,E,E,Transient,Canceled,06/04/2017
Resort Hotel,1,8,07/09/2017,2017,July,28,9,1,0,1,2,2.0,0,BB,PRT,C,C,Transient,Canceled,07/03/2017
Resort Hotel,1,256,07/09/2017,2017,July,28,9,2,0,2,3,0.0,0,BB,PRT,D,D,Transient,Canceled,11/19/2016
Resort Hotel,1,154,07/09/2017,2017,July,28,9,2,0,2,2,0.0,0,BB,GBR,D,D,Transient,Canceled,06/22/2017
Resort Hotel,1,61,07/09/2017,2017,July,28,9,2,0,2,1,0.0,0,BB,PRT,G,G,Transient,Canceled,05/12/2017
Resort Hotel,1,258,07/09/2017,2017,July,28,9,2,0,2,3,1.0,0,BB,BEL,H,H,Transient,Canceled,10/30/2016
Resort Hotel,1,33,07/09/2017,2017,July,28,9,2,1,3,2,2.0,0,HB,SWE,G,G,Transient,Canceled,07/03/2017
Resort Hotel,1,151,07/09/2017,2017,July,28,9,2,3,5,2,2.0,0,BB,ESP,C,C,Transient,Canceled,03/08/2017
Resort Hotel,1,349,07/09/2017,2017,July,28,9,2,4,6,2,2.0,0,BB,PRT,C,C,Transient,Canceled,12/28/2016
Resort Hotel,1,157,07/09/2017,2017,July,28,9,2,4,6,2,0.0,0,BB,PRT,A,A,Transient,Canceled,06/27/2017
Resort Hotel,1,216,07/09/2017,2017,July,28,9,2,5,7,2,0.0,0,BB,IRL,D,D,Transient,Canceled,01/04/2017
Resort Hotel,1,60,07/09/2017,2017,July,28,9,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,05/12/2017
Resort Hotel,1,60,07/09/2017,2017,July,28,9,2,5,7,2,0.0,0,HB,PRT,D,D,Transient,Canceled,06/09/2017
Resort Hotel,1,315,07/09/2017,2017,July,28,9,3,5,8,3,1.0,0,BB,BEL,H,H,Transient,Canceled,08/29/2016
Resort Hotel,1,190,07/09/2017,2017,July,28,9,4,8,12,2,0.0,0,BB,PRT,A,A,Transient,Canceled,01/11/2017
Resort Hotel,1,4,07/10/2017,2017,July,28,10,1,0,1,2,0.0,0,BB,PRT,D,D,Transient,Canceled,07/07/2017
Resort Hotel,1,10,07/10/2017,2017,July,28,10,1,1,2,2,0.0,0,BB,PRT,A,A,Transient-Party,Canceled,07/07/2017
Resort Hotel,1,10,07/10/2017,2017,July,28,10,1,1,2,2,0.0,0,BB,PRT,A,C,Transient-Party,Canceled,07/07/2017
Resort Hotel,1,112,07/10/2017,2017,July,28,10,1,2,3,2,0.0,0,HB,LVA,D,D,Transient,Canceled,04/21/2017
Resort Hotel,1,117,07/10/2017,2017,July,28,10,1,2,3,2,0.0,0,HB,ESP,D,D,Transient,Canceled,03/30/2017
Resort Hotel,1,149,07/10/2017,2017,July,28,10,1,2,3,2,0.0,0,HB,ESP,A,A,Transient,Canceled,06/29/2017
Resort Hotel,1,9,07/10/2017,2017,July,28,10,1,2,3,2,0.0,0,BB,PRT,D,D,Transient,Canceled,07/01/2017
Resort Hotel,1,148,07/10/2017,2017,July,28,10,1,3,4,2,2.0,0,BB,BRA,C,C,Transient,Canceled,06/22/2017
Resort Hotel,1,217,07/10/2017,2017,July,28,10,1,3,4,3,1.0,0,HB,CHE,H,H,Transient,Canceled,05/06/2017
Resort Hotel,1,125,07/10/2017,2017,July,28,10,1,3,4,2,0.0,0,BB,PRT,D,D,Transient,Canceled,03/16/2017
Resort Hotel,1,156,07/10/2017,2017,July,28,10,1,3,4,2,0.0,0,BB,IRL,A,A,Transient,Canceled,06/29/2017
Resort Hotel,1,76,07/10/2017,2017,July,28,10,1,4,5,2,0.0,0,HB,ESP,D,D,Transient,Canceled,06/30/2017
Resort Hotel,1,76,07/10/2017,2017,July,28,10,1,4,5,2,0.0,0,HB,ESP,D,D,Transient,Canceled,06/30/2017
Resort Hotel,1,289,07/10/2017,2017,July,28,10,1,4,5,2,0.0,0,BB,EST,A,A,Transient,Canceled,05/22/2017
Resort Hotel,1,163,07/10/2017,2017,July,28,10,1,5,6,2,0.0,0,HB,ESP,A,A,Transient,Canceled,01/30/2017
