hotel,is_canceled,lead_time,arrival_full_date,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,stays_total_nights,adults,children,babies,meal,country,reserved_room_type,assigned_room_type,customer_type,reservation_status,reservation_status_date
Resort Hotel,1,168,42921,2017,July,27,5,1,4,5,3,1.0,0,HB,PRT,H,H,Transient,Canceled,42868
Resort Hotel,1,14,42921,2017,July,27,5,1,4,5,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42907
Resort Hotel,1,334,42921,2017,July,27,5,1,4,5,2,0.0,0,HB,PRT,A,A,Transient-Party,Canceled,42912
Resort Hotel,1,352,42921,2017,July,27,5,2,5,7,2,0.0,0,BB,IRL,D,D,Transient,Canceled,42594
Resort Hotel,1,251,42921,2017,July,27,5,2,5,7,2,0.0,0,BB,GBR,A,A,Transient,Canceled,42747
Resort Hotel,1,158,42921,2017,July,27,5,2,5,7,2,0.0,0,Undefined,ESP,A,A,Transient,Canceled,42878
Resort Hotel,1,183,42921,2017,July,27,5,2,8,10,2,0.0,0,BB,GBR,D,D,Transient,Canceled,42833
Resort Hotel,1,168,42921,2017,July,27,5,2,8,10,2,0.0,0,BB,GBR,E,E,Transient,Canceled,42833
Resort Hotel,1,65,42921,2017,July,27,5,2,8,10,2,2.0,0,BB,CHE,G,G,Transient,Canceled,42861
Resort Hotel,1,338,42922,2017,July,27,6,0,1,1,2,2.0,0,BB,IRL,G,G,Transient,Canceled,42609
Resort Hotel,1,168,42922,2017,July,27,6,0,3,3,2,0.0,0,BB,ESP,E,E,Transient,Canceled,42873
Resort Hotel,1,171,42922,2017,July,27,6,0,3,3,2,1.0,0,HB,PRT,D,D,Transient,Canceled,42848
Resort Hotel,1,57,42922,2017,July,27,6,1,3,4,2,0.0,0,BB,PRT,E,E,Transient,Canceled,42867
Resort Hotel,1,130,42922,2017,July,27,6,1,3,4,1,2.0,0,HB,NOR,G,G,Transient,Canceled,42914
Resort Hotel,1,86,42922,2017,July,27,6,1,3,4,2,0.0,0,BB,ESP,D,D,Transient,Canceled,42852
Resort Hotel,1,210,42922,2017,July,27,6,2,3,5,2,0.0,0,HB,CN,D,D,Transient,Canceled,42872
Resort Hotel,1,210,42922,2017,July,27,6,2,3,5,2,0.0,0,BB,CN,D,D,Transient,Canceled,42712
Resort Hotel,1,210,42922,2017,July,27,6,2,3,5,2,0.0,0,BB,CN,D,D,Transient,Canceled,42712
Resort Hotel,1,210,42922,2017,July,27,6,2,3,5,2,0.0,0,HB,CN,D,D,Transient,Canceled,42872
Resort Hotel,1,326,42922,2017,July,27,6,2,5,7,3,0.0,0,BB,IRL,E,E,Transient,Canceled,42681
Resort Hotel,1,339,42922,2017,July,27,6,4,10,14,2,0.0,0,BB,CN,A,A,Transient,Canceled,42583
Resort Hotel,1,335,42922,2017,July,27,6,4,10,14,2,0.0,0,HB,PRT,D,D,Contract,Canceled,42768
Resort Hotel,1,140,42922,2017,July,27,6,4,8,12,2,2.0,0,BB,DNK,C,C,Transient,Canceled,42814
Resort Hotel,1,288,42923,2017,July,27,7,0,2,2,2,0.0,0,BB,CN,E,E,Transient,Canceled,42842
Resort Hotel,1,150,42923,2017,July,27,7,1,2,3,2,2.0,0,BB,PRT,C,C,Transient,Canceled,42774
Resort Hotel,1,113,42923,2017,July,27,7,1,2,3,2,2.0,0,BB,ESP,C,C,Transient,Canceled,42827
Resort Hotel,1,11,42923,2017,July,27,7,2,2,4,2,0.0,0,BB,DEU,D,D,Transient,Canceled,42913
Resort Hotel,1,58,42923,2017,July,27,7,2,2,4,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,58,42923,2017,July,27,7,2,2,4,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,179,42923,2017,July,27,7,2,3,5,2,0.0,0,HB,ESP,A,A,Transient,Canceled,42894
Resort Hotel,1,184,42923,2017,July,27,7,2,3,5,2,0.0,0,HB,DEU,A,A,Transient,Canceled,42746
Resort Hotel,1,58,42923,2017,July,27,7,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,227,42923,2017,July,27,7,2,5,7,2,0.0,0,BB,RUS,A,A,Transient,Canceled,42699
Resort Hotel,1,227,42923,2017,July,27,7,2,5,7,2,0.0,0,BB,RUS,A,A,Transient,Canceled,42699
Resort Hotel,1,51,42923,2017,July,27,7,1,2,3,3,0.0,0,BB,PRT,H,H,Transient,Canceled,42905
Resort Hotel,1,313,42923,2017,July,27,7,2,5,7,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42652
Resort Hotel,1,58,42923,2017,July,27,7,3,7,10,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,19,42924,2017,July,27,8,0,1,1,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42907
Resort Hotel,1,9,42924,2017,July,27,8,1,1,2,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42924
Resort Hotel,1,3,42924,2017,July,27,8,2,2,4,3,1.0,0,BB,PRT,H,H,Transient,Canceled,42921
Resort Hotel,1,135,42924,2017,July,27,8,2,3,5,2,0.0,0,BB,RUS,D,D,Transient,Canceled,42789
Resort Hotel,1,135,42924,2017,July,27,8,2,3,5,2,0.0,0,BB,RUS,D,D,Transient,Canceled,42865
Resort Hotel,1,186,42924,2017,July,27,8,2,4,6,2,2.0,0,HB,PRT,G,G,Transient,Canceled,42788
Resort Hotel,1,152,42924,2017,July,27,8,2,5,7,2,2.0,0,BB,RUS,C,C,Transient,Canceled,42793
Resort Hotel,1,209,42924,2017,July,27,8,2,5,7,2,1.0,0,BB,ROU,A,A,Transient,Canceled,42716
Resort Hotel,1,264,42924,2017,July,27,8,2,5,7,2,0.0,0,BB,ESP,D,D,Transient,Canceled,42723
Resort Hotel,1,150,42924,2017,July,27,8,2,5,7,2,0.0,0,HB,PRT,A,A,Transient,Canceled,42871
Resort Hotel,1,59,42924,2017,July,27,8,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,109,42924,2017,July,27,8,2,6,8,2,2.0,0,BB,PRT,C,C,Transient,Canceled,42817
Resort Hotel,1,162,42924,2017,July,27,8,3,6,9,3,0.0,0,FB,PRT,A,A,Transient,Canceled,42766
Resort Hotel,1,162,42924,2017,July,27,8,3,6,9,3,0.0,0,FB,PRT,A,A,Transient,Canceled,42766
Resort Hotel,1,192,42924,2017,July,27,8,4,6,10,2,0.0,0,HB,PRT,E,E,Transient,Canceled,42842
Resort Hotel,1,154,42924,2017,July,27,8,4,7,11,2,0.0,0,BB,GBR,E,E,Transient,Canceled,42890
Resort Hotel,1,8,42925,2017,July,28,9,1,0,1,2,2.0,0,BB,PRT,C,C,Transient,Canceled,42919
Resort Hotel,1,256,42925,2017,July,28,9,2,0,2,3,0.0,0,BB,PRT,D,D,Transient,Canceled,42693
Resort Hotel,1,154,42925,2017,July,28,9,2,0,2,2,0.0,0,BB,GBR,D,D,Transient,Canceled,42908
Resort Hotel,1,61,42925,2017,July,28,9,2,0,2,1,0.0,0,BB,PRT,G,G,Transient,Canceled,42867
Resort Hotel,1,258,42925,2017,July,28,9,2,0,2,3,1.0,0,BB,BEL,H,H,Transient,Canceled,42673
Resort Hotel,1,33,42925,2017,July,28,9,2,1,3,2,2.0,0,HB,SWE,G,G,Transient,Canceled,42919
Resort Hotel,1,151,42925,2017,July,28,9,2,3,5,2,2.0,0,BB,ESP,C,C,Transient,Canceled,42802
Resort Hotel,1,349,42925,2017,July,28,9,2,4,6,2,2.0,0,BB,PRT,C,C,Transient,Canceled,42732
Resort Hotel,1,157,42925,2017,July,28,9,2,4,6,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42913
Resort Hotel,1,216,42925,2017,July,28,9,2,5,7,2,0.0,0,BB,IRL,D,D,Transient,Canceled,42739
Resort Hotel,1,60,42925,2017,July,28,9,2,5,7,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42867
Resort Hotel,1,60,42925,2017,July,28,9,2,5,7,2,0.0,0,HB,PRT,D,D,Transient,Canceled,42895
Resort Hotel,1,315,42925,2017,July,28,9,3,5,8,3,1.0,0,BB,BEL,H,H,Transient,Canceled,42611
Resort Hotel,1,190,42925,2017,July,28,9,4,8,12,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42746
Resort Hotel,1,4,42926,2017,July,28,10,1,0,1,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42923
Resort Hotel,1,10,42926,2017,July,28,10,1,1,2,2,0.0,0,BB,PRT,A,A,Transient-Party,Canceled,42923
Resort Hotel,1,10,42926,2017,July,28,10,1,1,2,2,0.0,0,BB,PRT,A,C,Transient-Party,Canceled,42923
Resort Hotel,1,112,42926,2017,July,28,10,1,2,3,2,0.0,0,HB,LVA,D,D,Transient,Canceled,42846
Resort Hotel,1,117,42926,2017,July,28,10,1,2,3,2,0.0,0,HB,ESP,D,D,Transient,Canceled,42824
Resort Hotel,1,149,42926,2017,July,28,10,1,2,3,2,0.0,0,HB,ESP,A,A,Transient,Canceled,42915
Resort Hotel,1,9,42926,2017,July,28,10,1,2,3,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42917
Resort Hotel,1,148,42926,2017,July,28,10,1,3,4,2,2.0,0,BB,BRA,C,C,Transient,Canceled,42908
Resort Hotel,1,217,42926,2017,July,28,10,1,3,4,3,1.0,0,HB,CHE,H,H,Transient,Canceled,42861
Resort Hotel,1,125,42926,2017,July,28,10,1,3,4,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42810
Resort Hotel,1,156,42926,2017,July,28,10,1,3,4,2,0.0,0,BB,IRL,A,A,Transient,Canceled,42915
Resort Hotel,1,76,42926,2017,July,28,10,1,4,5,2,0.0,0,HB,ESP,D,D,Transient,Canceled,42916
Resort Hotel,1,76,42926,2017,July,28,10,1,4,5,2,0.0,0,HB,ESP,D,D,Transient,Canceled,42916
Resort Hotel,1,289,42926,2017,July,28,10,1,4,5,2,0.0,0,BB,EST,A,A,Transient,Canceled,42877
Resort Hotel,1,163,42926,2017,July,28,10,1,5,6,2,0.0,0,HB,ESP,A,A,Transient,Canceled,42765
Resort Hotel,1,140,42926,2017,July,28,10,1,5,6,2,0.0,0,BB,ESP,E,E,Transient,Canceled,42808
Resort Hotel,1,114,42926,2017,July,28,10,2,5,7,2,0.0,0,HB,CHE,E,E,Transient,Canceled,42814
Resort Hotel,1,48,42926,2017,July,28,10,2,5,7,2,0.0,0,HB,PRT,A,A,Transient,Canceled,42879
Resort Hotel,1,153,42926,2017,July,28,10,2,5,7,2,0.0,0,BB,IRL,A,A,Transient,Canceled,42877
Resort Hotel,1,153,42926,2017,July,28,10,2,5,7,2,0.0,0,HB,PRT,A,A,Contract,Canceled,42782
Resort Hotel,1,137,42926,2017,July,28,10,3,6,9,2,1.0,0,BB,PRT,E,E,Transient,Canceled,42795
Resort Hotel,1,5,42927,2017,July,28,11,0,1,1,2,0.0,0,BB,PRT,D,D,Transient,Canceled,42922
Resort Hotel,1,1,42927,2017,July,28,11,0,1,1,1,0.0,0,BB,PRT,E,E,Transient,Canceled,42927
Resort Hotel,1,3,42927,2017,July,28,11,0,1,1,2,2.0,0,BB,PRT,C,C,Transient,Canceled,42924
Resort Hotel,1,21,42927,2017,July,28,11,0,2,2,1,0.0,0,BB,PRT,A,A,Transient,Canceled,42906
Resort Hotel,1,95,42927,2017,July,28,11,0,3,3,2,0.0,0,BB,HKG,E,E,Transient,Canceled,42854
Resort Hotel,1,47,42927,2017,July,28,11,0,3,3,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42906
Resort Hotel,1,47,42927,2017,July,28,11,0,3,3,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42880
Resort Hotel,1,47,42927,2017,July,28,11,0,3,3,2,0.0,0,BB,PRT,E,E,Transient,Canceled,42880
Resort Hotel,1,48,42927,2017,July,28,11,0,3,3,2,0.0,0,HB,PRT,A,A,Transient,Canceled,42880
Resort Hotel,1,47,42927,2017,July,28,11,0,3,3,2,0.0,0,HB,PRT,A,A,Transient,Canceled,42880
Resort Hotel,1,73,42927,2017,July,28,11,0,4,4,2,0.0,0,BB,ESP,E,E,Transient,Canceled,42858
Resort Hotel,1,151,42927,2017,July,28,11,0,4,4,2,0.0,0,BB,PRT,A,A,Transient,Canceled,42832
Resort Hotel,1,24,42927,2017,July,28,11,0,4,4,2,0.0,0,BB,RUS,D,D,Transient,Canceled,42907
Resort Hotel,1,23,42927,2017,July,28,11,0,5,5,2,0.0,0,FB,ESP,E,E,Transient,Canceled,42906
Resort Hotel,1,110,42927,2017,July,28,11,0,5,5,2,0.0,0,BB,ISR,G,G,Transient,Canceled,42822
Resort Hotel,1,110,42927,2017,July,28,11,0,5,5,2,1.0,0,BB,ISR,E,E,Transient,Canceled,42822
Resort Hotel,1,110,42927,2017,July,28,11,0,5,5,2,1.0,0,BB,ISR,E,E,Transient,Canceled,42822
Resort Hotel,1,62,42927,2017,July,28,11,1,5,6,2,0.0,0,BB,PRT,E,E,Transient,Canceled,42867
Resort Hotel,1,151,42927,2017,July,28,11,2,5,7,2,2.0,0,HB,ITA,C,C,Transient,Canceled,42777
Resort Hotel,1,62,42927,2017,July,28,11,2,5,7,2,0.0,0,HB,PRT,D,D,Transient,Canceled,42895
