row_id;order_id;order_date;ship_date;customer_id;segment;country;city;state;region;product_id;category;sub_category;sales;quantity;discount;profit
37;CA-2018-117590;08.12.2018;10.12.2018;GH-14485;Corporate;United States;Richardson;Texas;Central;FUR-FU-10003664;Furniture;Furnishings;190,92;5;0,6;-147,963
38;CA-2017-117415;27.12.2017;31.12.2017;SN-20710;Home Office;United States;Houston;Texas;Central;OFF-EN-10002986;Office Supplies;Envelopes;113,328;9;0,2;35,415
39;CA-2017-117415;27.12.2017;31.12.2017;SN-20710;Home Office;United States;Houston;Texas;Central;FUR-BO-10002545;Furniture;Bookcases;532,3992;3;0,32;-46,9764
40;CA-2017-117415;27.12.2017;31.12.2017;SN-20710;Home Office;United States;Houston;Texas;Central;FUR-CH-10004218;Furniture;Chairs;212,058;3;0,3;-15,147
41;CA-2017-117415;27.12.2017;31.12.2017;SN-20710;Home Office;United States;Houston;Texas;Central;TEC-PH-10000486;Technology;Phones;371,168;4;0,2;41,7564
42;CA-2019-120999;10.09.2019;15.09.2019;LC-16930;Corporate;United States;Naperville;Illinois;Central;TEC-PH-10004093;Technology;Phones;147,168;4;0,2;16,5564
43;CA-2018-101343;17.07.2018;22.07.2018;RA-19885;Corporate;United States;Los Angeles;California;West;OFF-ST-10003479;Office Supplies;Storage;77,88;2;0;3,894
44;CA-2019-139619;19.09.2019;23.09.2019;ES-14080;Corporate;United States;Melbourne;Florida;South;OFF-ST-10003282;Office Supplies;Storage;95,616;2;0,2;9,5616
45;CA-2018-118255;11.03.2018;13.03.2018;ON-18715;Corporate;United States;Eagan;Minnesota;Central;TEC-AC-10000171;Technology;Accessories;45,98;2;0;19,7714
46;CA-2018-118255;11.03.2018;13.03.2018;ON-18715;Corporate;United States;Eagan;Minnesota;Central;OFF-BI-10003291;Office Supplies;Binders;17,46;2;0;8,2062
47;CA-2016-146703;20.10.2016;25.10.2016;PO-18865;Consumer;United States;Westland;Michigan;Central;OFF-ST-10001713;Office Supplies;Storage;211,96;4;0;8,4784
48;CA-2018-169194;20.06.2018;25.06.2018;LH-16900;Consumer;United States;Dover;Delaware;East;TEC-AC-10002167;Technology;Accessories;45;3;0;4,95
49;CA-2018-169194;20.06.2018;25.06.2018;LH-16900;Consumer;United States;Dover;Delaware;East;TEC-PH-10003988;Technology;Phones;21,8;2;0;6,104
50;CA-2017-115742;18.04.2017;22.04.2017;DP-13000;Consumer;United States;New Albany;Indiana;Central;OFF-BI-10004410;Office Supplies;Binders;38,22;6;0;17,9634
51;CA-2017-115742;18.04.2017;22.04.2017;DP-13000;Consumer;United States;New Albany;Indiana;Central;OFF-LA-10002762;Office Supplies;Labels;75,18;6;0;35,3346
52;CA-2017-115742;18.04.2017;22.04.2017;DP-13000;Consumer;United States;New Albany;Indiana;Central;FUR-FU-10001706;Furniture;Furnishings;6,16;2;0;2,9568
53;CA-2017-115742;18.04.2017;22.04.2017;DP-13000;Consumer;United States;New Albany;Indiana;Central;FUR-CH-10003061;Furniture;Chairs;89,99;1;0;17,0981
54;CA-2018-105816;11.12.2018;17.12.2018;JM-15265;Corporate;United States;New York City;New York;East;OFF-FA-10000304;Office Supplies;Fasteners;15,26;7;0;6,2566
55;CA-2018-105816;11.12.2018;17.12.2018;JM-15265;Corporate;United States;New York City;New York;East;TEC-PH-10002447;Technology;Phones;1029,95;5;0;298,6855
56;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-ST-10000604;Office Supplies;Storage;208,56;6;0;52,14
57;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-PA-10001569;Office Supplies;Paper;32,4;5;0;15,552
58;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;FUR-CH-10003968;Furniture;Chairs;319,41;5;0,1;7,098
59;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-PA-10000587;Office Supplies;Paper;14,56;2;0;6,9888
60;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;TEC-AC-10002167;Technology;Accessories;30;2;0;3,3
61;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-BI-10001460;Office Supplies;Binders;48,48;4;0,2;16,362
62;CA-2018-111682;17.06.2018;18.06.2018;TB-21055;Consumer;United States;Troy;New York;East;OFF-AR-10001868;Office Supplies;Art;1,68;1;0;0,84
63;CA-2017-135545;24.11.2017;30.11.2017;KM-16720;Consumer;United States;Los Angeles;California;West;TEC-AC-10004633;Technology;Accessories;13,98;2;0;6,1512
64;CA-2017-135545;24.11.2017;30.11.2017;KM-16720;Consumer;United States;Los Angeles;California;West;OFF-BI-10001078;Office Supplies;Binders;25,824;6;0,2;9,3612
65;CA-2017-135545;24.11.2017;30.11.2017;KM-16720;Consumer;United States;Los Angeles;California;West;OFF-PA-10003892;Office Supplies;Paper;146,73;3;0;68,9631
66;CA-2017-135545;24.11.2017;30.11.2017;KM-16720;Consumer;United States;Los Angeles;California;West;FUR-FU-10000397;Furniture;Furnishings;79,76;4;0;22,3328
67;US-2017-164175;30.04.2017;05.05.2017;PS-18970;Home Office;United States;Chicago;Illinois;Central;FUR-CH-10001146;Furniture;Chairs;213,115;5;0,3;-15,2225
68;CA-2016-106376;05.12.2016;10.12.2016;BS-11590;Corporate;United States;Gilbert;Arizona;West;OFF-AR-10002671;Office Supplies;Art;1113,024;8;0,2;111,3024
69;CA-2016-106376;05.12.2016;10.12.2016;BS-11590;Corporate;United States;Gilbert;Arizona;West;TEC-PH-10002726;Technology;Phones;167,968;4;0,2;62,988
70;CA-2018-119823;04.06.2018;06.06.2018;KD-16270;Consumer;United States;Springfield;Virginia;South;OFF-PA-10000482;Office Supplies;Paper;75,88;2;0;35,6636
71;CA-2018-106075;18.09.2018;23.09.2018;HM-14980;Consumer;United States;New York City;New York;East;OFF-BI-10004654;Office Supplies;Binders;4,616;1;0,2;1,731
72;CA-2019-114440;14.09.2019;17.09.2019;TB-21520;Consumer;United States;Jackson;Michigan;Central;OFF-PA-10004675;Office Supplies;Paper;19,05;3;0;8,763
73;US-2017-134026;26.04.2017;02.05.2017;JE-15745;Consumer;United States;Memphis;Tennessee;South;FUR-CH-10000513;Furniture;Chairs;831,936;8;0,2;-114,3912
74;US-2017-134026;26.04.2017;02.05.2017;JE-15745;Consumer;United States;Memphis;Tennessee;South;FUR-FU-10003708;Furniture;Furnishings;97,04;2;0,2;1,213
75;US-2017-134026;26.04.2017;02.05.2017;JE-15745;Consumer;United States;Memphis;Tennessee;South;OFF-ST-10004123;Office Supplies;Storage;72,784;1;0,2;-18,196
76;US-2019-118038;09.12.2019;11.12.2019;KB-16600;Corporate;United States;Houston;Texas;Central;OFF-BI-10004182;Office Supplies;Binders;1,248;3;0,8;-1,9344
77;US-2019-118038;09.12.2019;11.12.2019;KB-16600;Corporate;United States;Houston;Texas;Central;FUR-FU-10000260;Furniture;Furnishings;9,708;3;0,6;-5,8248
78;US-2019-118038;09.12.2019;11.12.2019;KB-16600;Corporate;United States;Houston;Texas;Central;OFF-ST-10000615;Office Supplies;Storage;27,24;3;0,2;2,724
79;US-2016-147606;26.11.2016;01.12.2016;JE-15745;Consumer;United States;Houston;Texas;Central;FUR-FU-10003194;Furniture;Furnishings;19,3;5;0,6;-14,475
80;CA-2018-127208;12.06.2018;15.06.2018;SC-20770;Corporate;United States;Decatur;Alabama;South;OFF-AP-10002118;Office Supplies;Appliances;208,16;1;0;56,2032
81;CA-2018-127208;12.06.2018;15.06.2018;SC-20770;Corporate;United States;Decatur;Alabama;South;OFF-BI-10002309;Office Supplies;Binders;16,74;3;0;8,0352
82;CA-2016-139451;12.10.2016;16.10.2016;DN-13690;Consumer;United States;San Francisco;California;West;OFF-AR-10002053;Office Supplies;Art;14,9;5;0;4,172
83;CA-2016-139451;12.10.2016;16.10.2016;DN-13690;Consumer;United States;San Francisco;California;West;OFF-ST-10002370;Office Supplies;Storage;21,39;1;0;6,2031
84;CA-2017-149734;03.09.2017;08.09.2017;JC-16105;Corporate;United States;Durham;North Carolina;South;OFF-EN-10000927;Office Supplies;Envelopes;200,984;7;0,2;62,8075
85;US-2019-119662;13.11.2019;16.11.2019;CS-12400;Home Office;United States;Chicago;Illinois;Central;OFF-ST-10003656;Office Supplies;Storage;230,376;3;0,2;-48,9549
86;CA-2019-140088;28.05.2019;30.05.2019;PO-18865;Consumer;United States;Columbia;South Carolina;South;FUR-CH-10000863;Furniture;Chairs;301,96;2;0;33,2156
87;CA-2019-155558;26.10.2019;02.11.2019;PG-18895;Consumer;United States;Rochester;Minnesota;Central;TEC-AC-10001998;Technology;Accessories;19,99;1;0;6,7966
88;CA-2019-155558;26.10.2019;02.11.2019;PG-18895;Consumer;United States;Rochester;Minnesota;Central;OFF-LA-10000134;Office Supplies;Labels;6,16;2;0;2,9568
89;CA-2018-159695;05.04.2018;10.04.2018;GM-14455;Home Office;United States;Houston;Texas;Central;OFF-ST-10003442;Office Supplies;Storage;158,368;7;0,2;13,8572
90;CA-2018-109806;17.09.2018;22.09.2018;JS-15685;Corporate;United States;Los Angeles;California;West;OFF-AR-10004930;Office Supplies;Art;20,1;3;0;6,633
91;CA-2018-109806;17.09.2018;22.09.2018;JS-15685;Corporate;United States;Los Angeles;California;West;TEC-PH-10004093;Technology;Phones;73,584;2;0,2;8,2782
92;CA-2018-109806;17.09.2018;22.09.2018;JS-15685;Corporate;United States;Los Angeles;California;West;OFF-PA-10000304;Office Supplies;Paper;6,48;1;0;3,1104
93;CA-2017-149587;31.01.2017;05.02.2017;KB-16315;Consumer;United States;Minneapolis;Minnesota;Central;OFF-PA-10003177;Office Supplies;Paper;12,96;2;0;6,2208
94;CA-2017-149587;31.01.2017;05.02.2017;KB-16315;Consumer;United States;Minneapolis;Minnesota;Central;FUR-FU-10003799;Furniture;Furnishings;53,34;3;0;16,5354
95;CA-2017-149587;31.01.2017;05.02.2017;KB-16315;Consumer;United States;Minneapolis;Minnesota;Central;OFF-BI-10002852;Office Supplies;Binders;32,96;2;0;16,1504
96;US-2019-109484;06.11.2019;12.11.2019;RB-19705;Home Office;United States;Portland;Oregon;West;OFF-BI-10004738;Office Supplies;Binders;5,682;1;0,7;-3,788
97;CA-2019-161018;09.11.2019;11.11.2019;PN-18775;Home Office;United States;New York City;New York;East;FUR-FU-10000629;Furniture;Furnishings;96,53;7;0;40,5426
98;CA-2019-157833;17.06.2019;20.06.2019;KD-16345;Consumer;United States;San Francisco;California;West;OFF-BI-10001721;Office Supplies;Binders;51,312;3;0,2;17,9592
99;CA-2018-149223;06.09.2018;11.09.2018;ER-13855;Corporate;United States;Saint Paul;Minnesota;Central;OFF-AP-10000358;Office Supplies;Appliances;77,88;6;0;22,5852
100;CA-2018-158568;29.08.2018;02.09.2018;RB-19465;Home Office;United States;Chicago;Illinois;Central;OFF-PA-10003256;Office Supplies;Paper;64,624;7;0,2;22,6184
101;CA-2018-158568;29.08.2018;02.09.2018;RB-19465;Home Office;United States;Chicago;Illinois;Central;TEC-AC-10001767;Technology;Accessories;95,976;3;0,2;-10,7973
102;CA-2018-158568;29.08.2018;02.09.2018;RB-19465;Home Office;United States;Chicago;Illinois;Central;OFF-BI-10002609;Office Supplies;Binders;1,788;3;0,8;-3,0396
103;CA-2018-129903;01.12.2018;04.12.2018;GZ-14470;Consumer;United States;Rochester;Minnesota;Central;OFF-PA-10004040;Office Supplies;Paper;23,92;4;0;11,7208
104;US-2017-156867;13.11.2017;17.11.2017;LC-16870;Consumer;United States;Aurora;Colorado;West;TEC-AC-10001552;Technology;Accessories;238,896;6;0,2;-26,8758
105;US-2017-156867;13.11.2017;17.11.2017;LC-16870;Consumer;United States;Aurora;Colorado;West;FUR-FU-10004006;Furniture;Furnishings;102,36;3;0,2;-3,8385
106;US-2017-156867;13.11.2017;17.11.2017;LC-16870;Consumer;United States;Aurora;Colorado;West;OFF-BI-10002794;Office Supplies;Binders;36,882;3;0,7;-25,8174
107;CA-2019-119004;23.11.2019;28.11.2019;JM-15250;Consumer;United States;Charlotte;North Carolina;South;TEC-AC-10003499;Technology;Accessories;74,112;8;0,2;17,6016
108;CA-2019-119004;23.11.2019;28.11.2019;JM-15250;Consumer;United States;Charlotte;North Carolina;South;TEC-PH-10002844;Technology;Phones;27,992;1;0,2;2,0994
109;CA-2019-119004;23.11.2019;28.11.2019;JM-15250;Consumer;United States;Charlotte;North Carolina;South;OFF-AR-10000390;Office Supplies;Art;3,304;1;0,2;1,0738
110;CA-2017-129476;15.10.2017;20.10.2017;PA-19060;Home Office;United States;Orland Park;Illinois;Central;TEC-AC-10000844;Technology;Accessories;339,96;5;0,2;67,992
111;CA-2019-146780;25.12.2019;30.12.2019;CV-12805;Corporate;United States;New York City;New York;East;FUR-FU-10001934;Furniture;Furnishings;41,96;2;0;10,9096
112;CA-2018-128867;03.11.2018;10.11.2018;CL-12565;Consumer;United States;Urbandale;Iowa;Central;OFF-AR-10000380;Office Supplies;Art;75,96;2;0;22,788
113;CA-2018-128867;03.11.2018;10.11.2018;CL-12565;Consumer;United States;Urbandale;Iowa;Central;OFF-BI-10003981;Office Supplies;Binders;27,24;6;0;13,3476
114;CA-2016-115259;25.08.2016;27.08.2016;RC-19960;Consumer;United States;Columbus;Ohio;East;OFF-FA-10000621;Office Supplies;Fasteners;40,096;14;0,2;14,5348
115;CA-2016-115259;25.08.2016;27.08.2016;RC-19960;Consumer;United States;Columbus;Ohio;East;OFF-EN-10002600;Office Supplies;Envelopes;4,72;2;0,2;1,652
116;CA-2016-115259;25.08.2016;27.08.2016;RC-19960;Consumer;United States;Columbus;Ohio;East;OFF-PA-10004965;Office Supplies;Paper;23,976;3;0,2;7,4925
117;CA-2016-115259;25.08.2016;27.08.2016;RC-19960;Consumer;United States;Columbus;Ohio;East;OFF-EN-10002504;Office Supplies;Envelopes;130,464;6;0,2;44,0316
118;CA-2017-110457;02.03.2017;06.03.2017;DK-13090;Consumer;United States;Seattle;Washington;West;FUR-TA-10001768;Furniture;Tables;787,53;3;0;165,3813
119;US-2017-136476;05.04.2017;10.04.2017;GG-14650;Corporate;United States;Bristol;Tennessee;South;OFF-BI-10003650;Office Supplies;Binders;157,794;1;0,7;-115,7156
120;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;FUR-FU-10002157;Furniture;Furnishings;47,04;3;0;18,3456
121;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;OFF-BI-10003910;Office Supplies;Binders;30,84;4;0;13,878
122;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;OFF-ST-10000777;Office Supplies;Storage;226,56;6;0;63,4368
123;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;OFF-EN-10002500;Office Supplies;Envelopes;115,02;9;0;51,759
124;CA-2018-103730;12.06.2018;15.06.2018;SC-20725;Consumer;United States;Wilmington;Delaware;East;TEC-PH-10003875;Technology;Phones;68,04;7;0;19,7316
125;US-2016-152030;26.12.2016;28.12.2016;AD-10180;Home Office;United States;Houston;Texas;Central;FUR-CH-10004063;Furniture;Chairs;600,558;3;0,3;-8,5794
126;US-2016-134614;20.09.2016;25.09.2016;PF-19165;Consumer;United States;Bloomington;Illinois;Central;FUR-TA-10004534;Furniture;Tables;617,7;6;0,5;-407,682
127;US-2019-107272;05.11.2019;12.11.2019;TS-21610;Consumer;United States;Phoenix;Arizona;West;OFF-BI-10003274;Office Supplies;Binders;2,388;2;0,7;-1,8308
128;US-2019-107272;05.11.2019;12.11.2019;TS-21610;Consumer;United States;Phoenix;Arizona;West;OFF-ST-10002974;Office Supplies;Storage;243,992;7;0,2;30,499
129;US-2018-125969;06.11.2018;10.11.2018;LS-16975;Home Office;United States;Los Angeles;California;West;FUR-CH-10001146;Furniture;Chairs;81,424;2;0,2;-9,1602
130;US-2018-125969;06.11.2018;10.11.2018;LS-16975;Home Office;United States;Los Angeles;California;West;FUR-FU-10003773;Furniture;Furnishings;238,56;3;0;26,2416
131;US-2019-164147;02.02.2019;05.02.2019;DW-13585;Corporate;United States;Columbus;Ohio;East;TEC-PH-10002293;Technology;Phones;59,97;5;0,4;-11,994
132;US-2019-164147;02.02.2019;05.02.2019;DW-13585;Corporate;United States;Columbus;Ohio;East;OFF-PA-10002377;Office Supplies;Paper;78,304;2;0,2;29,364
133;US-2019-164147;02.02.2019;05.02.2019;DW-13585;Corporate;United States;Columbus;Ohio;East;OFF-FA-10002780;Office Supplies;Fasteners;21,456;9;0,2;6,9732
134;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-PA-10001804;Office Supplies;Paper;20,04;3;0;9,6192
135;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-PA-10001736;Office Supplies;Paper;35,44;1;0;16,6568
136;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-AR-10001149;Office Supplies;Art;11,52;4;0;3,456
137;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-FA-10002988;Office Supplies;Fasteners;4,02;2;0;1,9698
138;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-BI-10004781;Office Supplies;Binders;76,176;3;0,2;26,6616
139;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;OFF-SU-10001218;Office Supplies;Supplies;65,88;6;0;18,4464
140;CA-2018-145583;13.10.2018;19.10.2018;LC-16885;Consumer;United States;Roseville;California;West;FUR-FU-10001706;Furniture;Furnishings;43,12;14;0;20,6976
141;CA-2018-110366;05.09.2018;07.09.2018;JD-15895;Corporate;United States;Philadelphia;Pennsylvania;East;FUR-FU-10004848;Furniture;Furnishings;82,8;2;0,2;10,35
142;CA-2019-106180;18.09.2019;23.09.2019;SH-19975;Corporate;United States;San Francisco;California;West;OFF-AR-10000940;Office Supplies;Art;8,82;3;0;2,3814
143;CA-2019-106180;18.09.2019;23.09.2019;SH-19975;Corporate;United States;San Francisco;California;West;OFF-EN-10004030;Office Supplies;Envelopes;10,86;3;0;5,1042
144;CA-2019-106180;18.09.2019;23.09.2019;SH-19975;Corporate;United States;San Francisco;California;West;OFF-PA-10004327;Office Supplies;Paper;143,7;3;0;68,976
145;CA-2019-155376;22.12.2019;27.12.2019;SG-20080;Consumer;United States;Independence;Missouri;Central;OFF-AP-10001058;Office Supplies;Appliances;839,43;3;0;218,2518
146;CA-2017-110744;07.09.2017;12.09.2017;HA-14920;Consumer;United States;Pasadena;California;West;OFF-ST-10003656;Office Supplies;Storage;671,93;7;0;20,1579
147;CA-2016-110072;22.10.2016;28.10.2016;MG-17680;Home Office;United States;Newark;Ohio;East;FUR-FU-10000521;Furniture;Furnishings;93,888;4;0,2;12,9096
148;CA-2018-114489;05.12.2018;09.12.2018;JE-16165;Corporate;United States;Franklin;Wisconsin;Central;TEC-PH-10000215;Technology;Phones;384,45;11;0;103,8015
149;CA-2018-114489;05.12.2018;09.12.2018;JE-16165;Corporate;United States;Franklin;Wisconsin;Central;TEC-PH-10001448;Technology;Phones;149,97;3;0;5,9988
150;CA-2018-114489;05.12.2018;09.12.2018;JE-16165;Corporate;United States;Franklin;Wisconsin;Central;FUR-CH-10000454;Furniture;Chairs;1951,84;8;0;585,552
151;CA-2018-114489;05.12.2018;09.12.2018;JE-16165;Corporate;United States;Franklin;Wisconsin;Central;OFF-BI-10002735;Office Supplies;Binders;171,55;5;0;80,6285
152;CA-2018-158834;13.03.2018;16.03.2018;TW-21025;Home Office;United States;Scottsdale;Arizona;West;OFF-AP-10000326;Office Supplies;Appliances;157,92;5;0,2;17,766
153;CA-2018-158834;13.03.2018;16.03.2018;TW-21025;Home Office;United States;Scottsdale;Arizona;West;TEC-PH-10001254;Technology;Phones;203,184;2;0,2;15,2388
154;CA-2017-124919;31.05.2017;02.06.2017;SP-20650;Corporate;United States;San Jose;California;West;OFF-PA-10001950;Office Supplies;Paper;58,38;7;0;26,271
155;CA-2017-124919;31.05.2017;02.06.2017;SP-20650;Corporate;United States;San Jose;California;West;OFF-PA-10002254;Office Supplies;Paper;105,52;4;0;48,5392
156;CA-2017-124919;31.05.2017;02.06.2017;SP-20650;Corporate;United States;San Jose;California;West;OFF-ST-10001590;Office Supplies;Storage;80,88;6;0;21,0288
157;CA-2017-118948;28.05.2017;03.06.2017;NK-18490;Home Office;United States;Seattle;Washington;West;OFF-AR-10001547;Office Supplies;Art;6,63;3;0;1,7901
158;CA-2016-104269;01.03.2016;06.03.2016;DB-13060;Consumer;United States;Seattle;Washington;West;FUR-CH-10004063;Furniture;Chairs;457,568;2;0,2;51,4764
159;CA-2018-114104;20.11.2018;24.11.2018;NP-18670;Consumer;United States;Edmond;Oklahoma;Central;OFF-LA-10002475;Office Supplies;Labels;14,62;2;0;6,8714
160;CA-2018-114104;20.11.2018;24.11.2018;NP-18670;Consumer;United States;Edmond;Oklahoma;Central;TEC-PH-10004536;Technology;Phones;944,93;7;0;236,2325
